celltype,bin,gene,mean,det,n_cells
astro,0.1,SDHB,0.258377220586082,0.315420560747664,428
astro,0.1,UQCRC1,0.097470389557219,0.135514018691589,428
astro,0.1,UQCRC2,0.448449049736852,0.532710280373832,428
astro,0.1,CYC1,0.059322898493749,0.0864485981308411,428
astro,0.1,COX4I1,0.159337629015758,0.210280373831776,428
astro,0.1,COX5A,0.11700894969089,0.168224299065421,428
astro,0.1,COX6C,0.215179859129625,0.27803738317757,428
astro,0.1,COX7C,0.229389413007509,0.27803738317757,428
astro,0.1,ATP5F1A,0.207221449535584,0.259345794392523,428
astro,0.1,ATP5F1B,0.179726198106726,0.22196261682243,428
astro,0.1,ATP5MC1,0.0697921061209429,0.0934579439252336,428
astro,0.1,ATP5PB,0.113402133859764,0.156542056074766,428
astro,0.1,PPARGC1A,0.309352925308397,0.303738317757009,428
astro,0.1,PPARGC1B,0.0381793189689378,0.0467289719626168,428
astro,0.1,PPRC1,0.10910774774362,0.151869158878505,428
astro,0.1,TFAM,0.0637099800683628,0.0794392523364486,428
astro,0.1,NRF1,0.646675851927182,0.640186915887851,428
astro,0.1,NFE2L2,0.811840821927953,0.717289719626168,428
astro,0.1,ESRRA,0.126161878632608,0.168224299065421,428
astro,0.1,MFN1,0.321146389869886,0.397196261682243,428
astro,0.1,MFN2,0.135831947568978,0.198598130841122,428
astro,0.1,OPA1,0.589044269348416,0.602803738317757,428
astro,0.1,DNM1L,0.553141656323014,0.565420560747664,428
astro,0.1,FIS1,0.0683396010894642,0.0934579439252336,428
astro,0.1,SLC1A2,2.74506375771538,0.988317757009346,428
astro,0.1,SLC1A3,2.87654351895658,0.901869158878505,428
astro,0.1,GLUL,1.0891157822492,0.668224299065421,428
astro,0.1,SLC38A1,0.436014611517715,0.299065420560748,428
astro,0.1,SLC38A3,0.0556603624163387,0.0794392523364486,428
astro,0.1,ATP1A1,0.271499333607259,0.289719626168224,428
astro,0.1,ATP1A2,0.671056482418675,0.567757009345795,428
astro,0.1,ATP1A3,0.0504912598250068,0.0724299065420561,428
astro,0.1,ATP1B1,0.136171907604298,0.182242990654206,428
astro,0.1,ATP1B2,0.532817349882326,0.516355140186916,428
astro,0.1,AQP4,1.33078669868061,0.83411214953271,428
astro,0.1,KCNJ10,0.114198062812614,0.142523364485981,428
astro,0.1,GJA1,0.504749625573091,0.490654205607477,428
astro,0.1,GJB6,0.021383809082419,0.0280373831775701,428
astro,0.1,SLC2A1,0.365127882807054,0.294392523364486,428
astro,0.1,SLC2A3,0.323205054432989,0.273364485981308,428
astro,0.1,GYS1,0.393887410027401,0.404205607476636,428
astro,0.1,PYGB,0.249123511261472,0.296728971962617,428
astro,0.1,PYGM,0.00996780729739466,0.0163551401869159,428
astro,0.1,CPT1A,0.307043375186274,0.373831775700935,428
astro,0.1,ACADVL,0.308108615192855,0.38785046728972,428
astro,0.1,HADHA,0.27820195752048,0.371495327102804,428
astro,0.1,ACSL3,1.1282598019064,0.761682242990654,428
astro,0.1,BDH1,0.0701609474615516,0.100467289719626,428
astro,0.1,OXCT1,0.217242877129639,0.261682242990654,428
astro,0.1,SLC16A6,0.107087854957469,0.0911214953271028,428
astro,0.1,RPL13A,0.31183146518246,0.383177570093458,428
astro,0.1,RPS6,0.243895991104786,0.303738317757009,428
astro,0.1,EIF4E,0.309987703425305,0.373831775700935,428
astro,0.1,EEF2,0.14478481888214,0.186915887850467,428
astro,0.1,HSPA5,0.44819238169171,0.450934579439252,428
astro,0.1,DDIT3,0.161273300229946,0.198598130841122,428
astro,0.1,ATF4,0.182815671175997,0.25,428
astro,0.1,EIF2AK3,0.342603905526834,0.35981308411215,428
astro,0.1,GFAP,1.86563550061155,0.789719626168224,428
astro,0.1,VIM,0.495586387116775,0.490654205607477,428
astro,0.1,SERPINA3,0.766014657636112,0.558411214953271,428
astro,0.1,CLU,1.99786271656228,0.936915887850467,428
astro,0.1,C3,0.230936148804482,0.252336448598131,428
astro,0.1,CD44,2.15138035253665,0.934579439252336,428
astro,0.1,LAMP1,0.307621128648241,0.357476635514019,428
astro,0.1,LAMP2,0.501612116869922,0.525700934579439,428
astro,0.1,CTSB,0.174781081275405,0.240654205607477,428
astro,0.1,CTSD,0.188209486550817,0.235981308411215,428
astro,0.1,SLC40A1,0.00874623329004395,0.014018691588785,428
astro,0.1,TFRC,0.896745145738682,0.605140186915888,428
astro,0.1,FTH1,1.43424652983374,0.86214953271028,428
