gene,rho
IBA57,-0.0177294274751378
RNF187,-0.0577881167827605
URB2,-0.00430145619066487
CHRM3,-0.0188979086263612
FH,-0.182592066146342
ZNF670,-0.382441286820687
ZNF672,-0.111114926076827
TMEM18,0.168404660898107
PXDN,0.219644795338581
RSAD2,0.0726548114923569
CYS1,0.229487345593865
RDH14,0.246728773868279
KLHL29,0.304063946949678
SF3B6,0.0253939440483821
FAM228A,0.256925956612751
CENPO,0.25610291096048
TMEM214,0.0338152259947649
EMILIN1,-0.0635163959795877
SLC5A6,0.0814303362693653
UCN,-0.0310371652408967
SNX17,0.161467693861954
FNDC4,-0.209590647571643
GPN1,-0.194922379302541
FAM98A,-0.0169062647228564
PKDCC,0.61033041618335
VRK2,0.396264306146286
OTX1,0.0179582812425771
PNO1,-0.57396680178861
FAM136A,-0.145039327960064
PAIP2B,0.27950341012767
RAB11FIP5,-0.345561199035517
SMYD5,-0.12155703541703
TPRKB,0.157964900863358
BOLA3,-0.265260549229278
MTHFD2,0.0889064499139203
RTKN,0.117302439115378
HK2,-0.0474966649967222
RETSAT,0.0489618706130942
VAMP8,-0.42369454860368
TMEM150A,0.114644109689456
REEP1,-0.172524810885496
ZNF514,0.0371609907582432
RGPD8,-0.223826816690478
TFCP2L1,0.363225582011373
NIFK,-0.186320573393408
CNTNAP5,0.210892585153162
POLR2D,-0.00409720137107307
C2orf27A,0.289973853348406
TMEM163,-0.0116485536154243
NMI,-0.00298210360321928
GALNT13,0.15534186817419
RBMS1,-0.0684864282040547
IFIH1,0.30117883401251
B3GALT1,-0.179792155942482
CHROMR,-0.0437953410872137
SCHLAP1,0.407802631798744
NUP35,-0.161384000108097
CALCRL,0.0998479749395404
ASNSD1,-0.0241251621031339
FZD7,0.33252808659056
EEF1B2,-0.145407416767008
ACADL,0.0164471591777829
CPS1,-0.0600015482614196
SLC11A1,-0.076347565494563
NHEJ1,0.0207719489712287
CNPPD1,0.0209096579543277
TUBA4A,0.096932085375798
SLC19A3,-0.0501675736705865
SP140,-0.103194453908535
SP100,0.0676285428180757
ASB1,0.0118704579348998
DTYMK,0.109520826880825
OXTR,-0.0994886835566397
LSM3,-0.0711722870103634
C3orf20,-0.13820107287046
EAF1,-0.353014220172818
DPH3,-0.352483843379922
TGFBR2,-0.222984422487691
ARPP21,0.243291880054568
C3orf35,0.228689255572234
DLEC1,0.296087246948189
SLC25A38,0.193392100755429
SS18L2,0.0562025533139693
CCDC13,0.425785686085077
HIGD1A,-0.0845770477251938
ZNF852,0.252029499905192
ZKSCAN7,-0.151193227929062
KIAA1143,-0.22123434734123
KIF15,0.0789863722594103
NBEAL2,-0.134344342557056
KIF9,-0.0704113805259346
NME6,-0.272247308422449
SLC26A6,0.0818649476047531
IMPDH2,-0.181136619576816
USP19,0.1879615589193
NICN1,0.0615871297218161
IFRD2,0.0282831314761189
RASSF1,-0.119833788160202
NPRL2,0.0596359931801772
C3orf18,-0.0993801556463652
MAPKAPK3,0.0356816791059611
TEX264,0.154411573792718
PARP3,0.094156072442311
BAP1,0.051902138084292
STAB1,-0.203222530217933
GLT8D1,-0.0998030893799467
ACTR8,-0.0927402856549908
LRTM1,0.356302859526086
PDHB,-0.112028433986185
FEZF2,0.0953370258156459
LNP1,0.450153108520628
IMPG2,-0.12153368718554
GTF2E1,-0.136777955267524
SLC12A8,0.36411976412184
PODXL2,-0.0276194036228489
H1FX,0.15826358520808
ASTE1,-0.111902714626529
CPNE4,0.123986106193215
AMOTL2,0.0337917800215595
DBR1,-0.123289569464987
MRPS22,0.103238759349135
CLSTN2,0.111597810263744
RNF7,-0.0578842787179105
ZIC1,-0.1243327556467
SMC4,0.290453953311347
EIF5A2,-0.181853844267851
ECT2,0.113620195454143
ACTL6A,-0.301686641116779
ABCF3,-0.135491681247629
CHRD,0.0254038139998647
EPHB3,-0.133958495895762
CRYGS,-0.0265785538320202
TBCCD1,-0.368330006430114
WDR53,-0.278477724385446
FBXO45,-0.00447695637769229
NCBP2,-0.15382209734298
MYL5,-0.176967726051579
IDUA,0.0736554896689148
C4orf48,0.181516865712827
TNIP2,-0.314053859364806
LYAR,-0.274064389062977
SH3TC1,-0.159831230505259
LDB2,0.338059855800546
PGM2,-0.285930148491931
UGDH,-0.538016863449474
GABRA4,-0.0399167745221997
UTP3,-0.277059560462091
ADAMTS3,-0.0125878421815377
COX18,-0.0697074744171417
NAAA,-0.0253116436154236
HERC5,-0.00442062191739733
PYURF,-0.177778640257879
MTTP,0.100630096640964
H2AFZ,0.118174458689976
BANK1,0.219026170423204
CFI,0.182927929059112
GAR1,0.0517640252225153
RRH,0.0827135972831058
EXOSC9,-0.325089039732478
SPRY1,-0.19458373830838
TTC29,0.109256389885261
ARHGAP10,0.0226459955999533
IQCM,0.388216862714891
TLR2,-0.0889596165210873
TMA16,-0.271638023972695
SPOCK3,0.477964759835144
SLC25A4,-0.0133605227786239
ANKRD37,0.0159606769267103
SORBS2,0.118143780990903
C5orf49,-0.0630073310138054
DNAH5,-0.0735293845624621
BASP1,0.109132123847112
C1QTNF3,0.247030443702811
RAD1,0.0598452840431928
FBXO4,-0.137203070537254
CCDC152,-0.0872639181651001
GCNT4,-0.0934239158057941
ANKRD31,-0.230663846156918
POC5,-0.306257483690773
RASGRF2,-0.0446650960936659
EDIL3,0.416624755418655
MCTP1,0.128779460882995
SPATA9,0.114147966105411
RIOK2,-0.520800379014085
STARD4,-0.250219130689301
PRR16,0.173020033362898
PPIC,0.0833280980459521
PRDM6,0.154858468116298
IRF1,-0.147940465780432
WDR55,-0.152436880412148
ZMAT2,-0.220483359566673
PCDHB4,0.249020727194929
PCDHB16,0.179014350635439
PCDHB9,0.0123095640169777
PCDHB12,0.106300764765768
YIPF5,-0.402429354690571
SLC26A2,-0.273396391093462
SLC36A1,-0.0483267052106549
SPARC,0.376965018670689
ZBED8,-0.0259582238555931
NUDCD2,-0.23391560343934
DOCK2,-0.0166268475154328
DUSP1,0.414784410837053
HNRNPAB,0.00385816193018586
MGAT4B,0.155922799342033
SERPINB1,-0.219162494868862
TXNDC5,-0.245473858311188
EEF1E1,-0.513744424288522
TPMT,0.00404491064338043
DCDC2,0.091038007425624
HIST1H4C,-0.0738000574400182
HMGN4,-0.300648976276372
ZSCAN12,-0.140088527604978
TRIM39,-0.338872486683121
RPP21,-0.0369058653581339
DHX16,-0.0720586552658088
HCG27,-0.073959855294254
NFKBIL1,-0.087031344998468
GPANK1,0.028456021443779
LY6G5B,0.0721922819527683
VARS,-0.0521323663883019
LSM2,-0.0412853430636588
SNHG32,-0.0888337085120425
PRRT1,0.153381919007526
PPT2,0.247337564980132
HLA-DRA,-0.110242820203054
PSMB9,-0.143767530484065
CUTA,0.234863985395695
HMGA1,0.0706677019006642
SNRPC,-0.265208519717021
CDKN1A,-0.105978567655042
PIM1,-0.0580850078707242
CNPY3,0.106908376770393
SRF,0.233087784239572
YIPF3,0.0720847600950188
MRPS18A,-0.430194672065124
AARS2,-0.0598996742015719
RUNX2,-0.243461895155173
CYP39A1,0.399381955085445
CENPQ,0.0550461416690503
TMEM14A,0.0956486618656525
KHDRBS2,0.0171805041810173
SDHAF4,-0.221989542910261
KCNQ5,0.159893476686374
KHDC1,-0.0555873307151722
FILIP1,-0.0969794817872095
EPHA7,-0.151955514775241
FAXC,-0.25514587953941
DDO,0.0963313730288063
TSPYL1,0.202139976781381
ENPP3,0.163427329700185
IL20RA,0.178840820680312
FUCA2,-0.12998596473564
ZBTB2,-0.0665602355642053
ARMT1,-0.114320555594169
ESR1,0.248381809300855
IPCEF1,-0.305543859081684
AGPAT4,0.172971891567343
CAHM,0.184589162903976
C6orf118,0.583080737903007
THBS2,0.204248563996463
AGMO,0.465016738111601
BZW2,-0.401680289273273
